pl_name,hostname,discoverymethod,disc_year,pl_dens_source,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_met,sy_pnum,pl_rade_was_imputed,pl_bmasse_was_imputed,pl_dens_was_imputed,pl_orbper_was_imputed,pl_orbsmax_was_imputed,pl_orbeccen_was_imputed,st_teff_was_imputed,st_met_was_imputed,sy_pnum_was_imputed,complete_case_before_imputation,any_feature_was_imputed,imputation_method
AU Mic c,AU Mic,Transit,2021.0,derived_from_pl_bmasse_pl_rade,2.79,14.459999999999999,3.671321730690891,18.859023000000004,0.11899999999999998,0.18,3540.0,0.01,4.0,False,False,False,False,False,False,False,False,False,True,False,knn
AU Mic d,AU Mic,Transit Timing Variations,2023.0,derived_from_pl_bmasse_pl_rade,1.02,1.053,5.4713515163851,12.735959999999999,0.05839105016972107,0.00305,3678.0,0.23,4.0,False,False,False,False,True,False,False,False,False,False,True,knn
AU Mic e,AU Mic,Radial Velocity,2025.0,derived_from_pl_bmasse_pl_rade,4.87,21.099999999999998,1.0073081166885192,33.11000000000001,0.17953298868604908,0.0625317183570314,3665.0,0.12,4.0,False,False,False,False,True,True,False,False,False,False,True,knn
BD+03 2562 b,BD+03 2562,Radial Velocity,2017.0,derived_from_pl_bmasse_pl_rade,12.699999999999998,2034.112,5.4755841890896395,481.9000000000001,1.2999999999999998,0.2,4095.0,-0.71,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+05 4868 A b,BD+05 4868 A,Transit,2025.0,,2.8751582139159377,6.2,3.0234606151454884,1.271869,0.0208,0.0,4596.0,-0.05,1.0,True,False,True,False,False,True,False,False,False,False,True,knn
BD+14 4559 b,BD+14 4559,Radial Velocity,2009.0,derived_from_pl_bmasse_pl_rade,13.799999999999999,330.5432,0.6935179876350418,268.94000000000005,0.7800000000000001,0.29,4864.0,0.17,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+15 2375 b,BD+15 2375,Radial Velocity,2016.0,derived_from_pl_bmasse_pl_rade,13.799999999999999,337.2176299999999,0.7075217162315187,153.22,0.5760000000000001,0.001,4649.0,-0.22000000000000003,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+15 2940 b,BD+15 2940,Radial Velocity,2013.0,derived_from_pl_bmasse_pl_rade,13.699999999999998,352.78000000000014,0.7565001460320695,137.48,0.539,0.26,4796.0,0.28,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+20 2457 b,BD+20 2457,Radial Velocity,2009.0,derived_from_pl_bmasse_pl_rade,12.1,6807.629999999998,21.188811347732315,379.62999999999994,1.4499999999999997,0.15,4137.0,-1.0,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+20 2457 c,BD+20 2457,Radial Velocity,2009.0,derived_from_pl_bmasse_pl_rade,12.400000000000002,3963.170000000001,11.46157783600752,621.99,2.01,0.18,4137.0,-1.0,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+20 274 b,BD+20 274,Radial Velocity,2012.0,derived_from_pl_bmasse_pl_rade,12.999999999999998,1334.886,3.3502782903959947,578.1999999999998,1.2999999999999998,0.21,4296.0,-0.46,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+20 594 b,BD+20 594,Transit,2016.0,derived_from_pl_bmasse_pl_rade,2.57807,22.248099999999997,7.159382636976986,41.685500000000005,0.241,0.0,5766.0,-0.15,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+37 3172 b,BD+37 3172,Radial Velocity,2023.0,derived_from_pl_bmasse_pl_rade,12.400000000000002,3368.981114200001,9.743170055395714,1887.7600000000002,4.649999999999999,0.59,4500.0,-0.030000000000000002,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+42 2315 b,BD+42 2315,Radial Velocity,2023.0,derived_from_pl_bmasse_pl_rade,14.200000000000001,174.80562385000007,0.33663334247511956,123.05000000000005,0.5400000000000001,0.73,4500.0,-0.19999999999999998,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+45 564 b,BD+45 564,Radial Velocity,2021.0,derived_from_pl_bmasse_pl_rade,13.599999999999998,432.2466335199998,0.9475053180136247,307.87999999999994,0.8300000000000001,0.12,5004.0,-0.08999999999999998,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+48 738 b,BD+48 738,Radial Velocity,2011.0,derived_from_pl_bmasse_pl_rade,13.900000000000004,289.22529999999995,0.593825223980021,392.6000000000001,1.0000000000000002,0.2,4414.0,-0.19999999999999998,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+48 740 b,BD+48 740,Radial Velocity,2018.0,derived_from_pl_bmasse_pl_rade,13.5,540.3110000000004,1.2109027501905198,732.9999999999997,1.6999999999999997,0.76,4534.0,-0.13,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+49 828 b,BD+49 828,Radial Velocity,2015.0,derived_from_pl_bmasse_pl_rade,13.5,508.50000000000006,1.139610425240055,2590.0000000000005,4.199999999999998,0.35,4943.0,-0.19,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+55 362 b,BD+55 362,Radial Velocity,2021.0,derived_from_pl_bmasse_pl_rade,13.999999999999998,228.83645303999998,0.4598411815096793,265.5899999999999,0.7800000000000001,0.27,5012.0,0.18,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
BD+60 1417 b,BD+60 1417,Imaging,2021.0,derived_from_pl_bmasse_pl_rade,14.683764720000003,4767.4261050000005,8.303065818688548,16.5370811893999,1661.9999999999977,0.20095432170476765,4993.0,-0.09412592812455944,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
BD+63 1405 b,BD+63 1405,Radial Velocity,2021.0,derived_from_pl_bmasse_pl_rade,12.400000000000002,3305.4154327999986,9.559336658124096,1198.4799999999996,2.0600000000000005,0.88,5000.0,-0.08999999999999998,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
