config_id,node_id,anchor_pl_name,radius_type,radius_value,N_obs,N_exp_neighbors,delta_N_neighbors,delta_rel_neighbors,N_exp_analog,delta_N_analog,delta_rel_analog,n_analog_nodes,reference_used,warning
orbital_pca2_cubes10_overlap0p35,cube26_cluster8,HD 37605 c,r_node_median,0.3555454763848312,53,54.0,1.0,0.018518518518175583,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster8,HD 37605 c,r_node_q75,0.6771638003362245,154,155.0,1.0,0.0064516129031841835,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster8,HD 37605 c,r_kNN,0.14217990455083138,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster5,HD 110014 b,r_node_median,0.18711091740220642,5,6.0,1.0,0.16666666663888888,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster5,HD 110014 b,r_node_q75,0.5582256888198439,134,135.0,1.0,0.007407407407352538,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster5,HD 110014 b,r_kNN,0.2129595894127735,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster3,HD 110014 b,r_node_median,0.18711091740220642,5,6.0,1.0,0.16666666663888888,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster3,HD 110014 b,r_node_q75,0.5582256888198439,134,135.0,1.0,0.007407407407352538,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster3,HD 110014 b,r_kNN,0.2129595894127735,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube7_cluster0,HD 48948 b,r_node_median,0.5122925907337261,1343,1336.0,-7.0,-0.005239520958079911,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube7_cluster0,HD 48948 b,r_node_q75,0.7732301971440136,2186,2170.0,-16.0,-0.007373271889397524,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube7_cluster0,HD 48948 b,r_kNN,0.058326388070218046,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube25_cluster5,HD 95872 b,r_node_median,0.21355031504979186,11,5.0,-6.0,-1.19999999976,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube25_cluster5,HD 95872 b,r_node_q75,0.3403549136008657,16,6.0,-10.0,-1.666666666388889,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube25_cluster5,HD 95872 b,r_kNN,0.12480156003267792,4,3.0,-1.0,-0.3333333332222222,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster11,HD 20781 e,r_node_median,0.2210062305398185,68,69.0,1.0,0.014492753622978366,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster11,HD 20781 e,r_node_q75,0.26884390771006555,94,95.0,1.0,0.01052631578936288,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster11,HD 20781 e,r_kNN,0.10772066469288062,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
