config_id,node_id,member_id,pl_name,hostname,row_index,cube_id,cluster_id
joint_pca2_cubes10_overlap0p35,cube5_cluster0,KOI-55 c,KOI-55 c,KOI-55,2114,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-10 b,Kepler-10 b,Kepler-10,2128,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1027 b,Kepler-1027 b,Kepler-1027,2171,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1031 b,Kepler-1031 b,Kepler-1031,2177,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1037 b,Kepler-1037 b,Kepler-1037,2183,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1039 b,Kepler-1039 b,Kepler-1039,2186,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1067 b,Kepler-1067 b,Kepler-1067,2227,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1072 b,Kepler-1072 b,Kepler-1072,2237,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1082 b,Kepler-1082 b,Kepler-1082,2251,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1084 b,Kepler-1084 b,Kepler-1084,2253,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1087 b,Kepler-1087 b,Kepler-1087,2258,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1091 b,Kepler-1091 b,Kepler-1091,2265,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1107 b,Kepler-1107 b,Kepler-1107,2290,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1139 b,Kepler-1139 b,Kepler-1139,2332,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1141 b,Kepler-1141 b,Kepler-1141,2337,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1148 b,Kepler-1148 b,Kepler-1148,2345,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-115 b,Kepler-115 b,Kepler-115,2347,cube5,0
joint_pca2_cubes10_overlap0p35,cube5_cluster0,Kepler-1167 b,Kepler-1167 b,Kepler-1167,2371,cube5,0
