config_id,node_id,Astrometry,Eclipse Timing Variations,Imaging,Microlensing,Orbital Brightness Modulation,Pulsar Timing,Pulsation Timing Variations,Radial Velocity,Transit,Transit Timing Variations,Disk Kinematics
phys_min_pca2_cubes10_overlap0p35,cube5_cluster0,0,0,0,0,1,0,0,5,83,1,0.0
phys_min_pca2_cubes10_overlap0p35,cube5_cluster1,0,0,0,0,0,0,0,0,5,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube6_cluster0,0,0,0,0,0,0,0,1,10,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube6_cluster1,0,0,0,0,0,0,0,0,5,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube11_cluster0,0,0,0,0,0,0,0,1,3,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube12_cluster0,0,0,0,0,0,1,0,2,75,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube12_cluster1,0,0,0,0,0,0,0,1,3,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube13_cluster0,0,0,0,5,2,1,0,33,616,2,0.0
phys_min_pca2_cubes10_overlap0p35,cube19_cluster0,0,0,0,0,0,0,0,1,3,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube20_cluster0,0,0,0,0,0,1,0,9,155,1,0.0
phys_min_pca2_cubes10_overlap0p35,cube20_cluster1,0,0,0,0,0,0,0,1,3,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube20_cluster2,0,0,0,0,0,0,0,0,4,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube21_cluster0,0,0,0,30,0,3,0,142,2142,6,0.0
phys_min_pca2_cubes10_overlap0p35,cube21_cluster1,0,0,0,0,0,0,0,0,5,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube22_cluster0,0,0,0,7,0,0,0,38,492,1,0.0
phys_min_pca2_cubes10_overlap0p35,cube22_cluster1,0,0,0,0,0,0,0,0,5,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube29_cluster0,0,0,0,0,0,0,0,0,6,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster0,0,0,0,0,0,0,0,2,44,1,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster1,0,0,0,0,0,0,0,1,42,1,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster2,0,0,0,0,0,0,0,0,3,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube30_cluster3,0,0,0,0,0,0,0,0,6,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube31_cluster0,0,0,3,48,3,1,0,226,1975,10,0.0
phys_min_pca2_cubes10_overlap0p35,cube32_cluster0,0,0,0,46,0,0,0,201,1359,7,0.0
phys_min_pca2_cubes10_overlap0p35,cube32_cluster1,0,0,0,0,0,0,0,0,9,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube33_cluster0,0,0,0,0,0,0,0,0,6,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube39_cluster0,0,0,0,0,0,0,0,0,6,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube40_cluster0,0,0,0,0,0,0,0,0,15,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube40_cluster1,0,0,0,0,0,0,0,0,7,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube40_cluster2,0,0,0,0,0,0,0,0,5,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube40_cluster3,0,0,0,0,0,0,0,0,6,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube40_cluster4,0,0,0,0,0,0,0,0,6,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube41_cluster0,0,0,0,19,0,0,0,61,207,1,0.0
phys_min_pca2_cubes10_overlap0p35,cube41_cluster1,0,0,0,0,0,0,0,1,4,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube41_cluster2,0,0,0,0,0,0,0,0,7,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube41_cluster3,0,0,0,0,0,0,0,0,5,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube42_cluster0,0,0,0,57,0,0,0,145,384,6,0.0
phys_min_pca2_cubes10_overlap0p35,cube42_cluster1,0,0,0,0,0,0,0,0,9,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube42_cluster2,0,0,0,0,0,0,0,0,5,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube42_cluster3,0,0,0,0,0,0,0,0,4,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube43_cluster0,0,0,0,10,0,0,0,24,43,3,0.0
phys_min_pca2_cubes10_overlap0p35,cube43_cluster1,0,0,0,0,0,0,0,0,6,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube51_cluster0,0,0,0,0,0,1,0,3,4,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube51_cluster1,0,0,0,0,0,0,0,1,78,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube51_cluster2,0,0,0,0,0,0,0,1,6,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube51_cluster3,0,0,0,0,0,0,0,0,6,0,0.0
phys_min_pca2_cubes10_overlap0p35,cube52_cluster0,0,0,0,90,1,1,0,225,396,10,0.0
